Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A1,A2,A2,A3,A3,A4,A4,A[1],A[1],A[2],A[2],A[3],A[3],A[4],A[4],B1,B1,B2,B2,B3,B3,B4,B4,B[1],B[1],B[2],B[2],B[3],B[3],B[4],B[4],,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
1,P,LFKM,5,77,2,2,LF270_,0,0,150,150,1,0,0.0%,0,0.0%,2,12.7%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,0,0,1,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,0,150,153,3,6,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,52,1,0,0,0,0,1
1,P,LFKM,5,77,2,2,LF270_,1,153,691,538,2,0,0.0%,0,0.0%,2,3.5%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,59,1,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,1,691,698,7,3,0,0.0%,2,28.6%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,86,1,0,0,0,0,1
1,P,LFKM,5,77,2,2,LF270_,1,698,701,3,5,0,0.0%,1,33.3%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,98,1,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,1,701,706,5,4,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,150,1,6,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,1,706,715,9,8,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,153,6,2,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,2,715,813,98,2,0,0.0%,0,0.0%,2,17.3%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,292,2,0,0,0,0,1
1,P,LFKM,5,77,2,2,LF270_,2,813,820,7,3,0,0.0%,3,71.4%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,301,2,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,2,820,823,3,5,0,0.0%,0,33.3%,1,66.7%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,315,2,0,0,0,0,1
1,P,LFKM,5,77,2,2,LF270_,2,823,828,5,4,0,0.0%,0,0.0%,0,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,325,2,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,2,828,871,43,8,0,0.0%,0,0.0%,0,34.9%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,691,2,3,2,0,1,0
1,P,LFKM,5,77,2,2,LF270_,3,871,946,75,2,0,0.0%,0,0.0%,1,4.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,693,3,0,0,0,1,0
1,P,LFKM,5,77,2,2,LF270_,3,946,953,7,3,0,0.0%,1,71.4%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,694,3,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,3,953,956,3,5,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,698,3,5,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,3,956,961,5,4,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,699,5,0,0,0,1,0
1,P,LFKM,5,77,2,2,LF270_,3,961,1021,60,8,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,700,5,0,0,0,0,0
1,P,LFKM,5,77,2,2,LF270_,4,1021,1169,148,2,0,0.0%,0,0.0%,1,23.6%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,LF270_,701,5,4,0,0,0,0
