Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
1,P,LFKM,5,75,0,3,LF270_,0,0,150,150,1,0,0,0,,LF270_,0,0,1,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,0,150,153,3,6,0,0,3,,LF270_,150,1,6,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,1,153,452,299,2,0,1,0,,LF270_,153,6,2,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,1,452,459,7,3,0,0,0,,LF270_,184,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,1,459,462,3,5,0,0,0,,LF270_,192,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,1,462,467,5,4,0,0,0,,LF270_,196,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,1,467,481,14,8,0,0,2,,LF270_,197,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,2,481,1024,543,2,0,1,0,,LF270_,237,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,2,1024,1031,7,3,0,0,0,,LF270_,249,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,2,1031,1034,3,5,0,0,0,,LF270_,452,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,2,1034,1039,5,4,0,0,0,,LF270_,459,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,2,1039,1051,12,8,2,0,4,,LF270_,462,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,3,1051,2005,954,2,0,1,0,,LF270_,467,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,3,2005,2012,7,3,0,0,0,,LF270_,481,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,3,2012,2015,3,5,0,0,0,,LF270_,490,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,3,2015,2020,5,4,0,0,0,,LF270_,508,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,3,2020,2030,10,8,1,0,5,,LF270_,535,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,4,2030,2492,462,2,0,1,0,,LF270_,1024,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,4,2492,2499,7,3,0,0,0,,LF270_,1025,3,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,4,2499,2502,3,5,0,0,0,,LF270_,1031,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,4,2502,2507,5,4,0,0,0,,LF270_,1034,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,4,2507,2516,9,8,0,0,2,,LF270_,1039,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,5,2516,3608,1092,2,0,1,0,,LF270_,1051,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,5,3608,3615,7,3,0,0,0,,LF270_,1057,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,5,3615,3618,3,5,0,0,0,,LF270_,1103,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,5,3618,3623,5,4,0,0,0,,LF270_,1122,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,5,3623,3626,3,8,0,1,0,,LF270_,1188,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,5,3626,3633,7,3,0,0,0,,LF270_,1192,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,5,3633,3636,3,5,0,0,0,,LF270_,1787,2,0,0,1,0,0
1,P,LFKM,5,75,0,3,LF270_,5,3636,3641,5,4,0,0,0,,LF270_,1793,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,5,3641,3649,8,8,0,0,1,,LF270_,1807,2,0,0,1,0,0
1,P,LFKM,5,75,0,3,LF270_,6,3649,4613,964,2,0,1,0,,LF270_,1877,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,6,4613,4620,7,3,0,0,0,,LF270_,1974,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,6,4620,4623,3,5,0,0,0,,LF270_,1975,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,6,4623,4628,5,4,0,0,0,,LF270_,2005,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,6,4628,4661,33,8,0,0,1,,LF270_,2012,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,7,4661,5023,362,2,0,1,0,,LF270_,2013,5,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,7,5023,5030,7,3,0,0,0,,LF270_,2015,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,7,5030,5033,3,5,0,0,0,,LF270_,2020,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,7,5033,5038,5,4,0,1,0,,LF270_,2030,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,7,5038,5058,20,8,0,0,1,,LF270_,2038,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,8,5058,5128,70,2,0,1,0,,LF270_,2119,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,8,5128,5135,7,3,0,0,0,,LF270_,2128,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,8,5135,5138,3,5,0,0,0,,LF270_,2144,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,8,5138,5143,5,4,0,0,0,,LF270_,2155,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,8,5143,5188,45,8,0,1,1,,LF270_,2168,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,8,5188,5195,7,3,0,0,0,,LF270_,2174,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,8,5195,5198,3,5,0,0,0,,LF270_,2286,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,8,5198,5203,5,4,0,0,0,,LF270_,2290,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,8,5203,5287,84,8,0,0,1,,LF270_,2438,2,0,0,1,0,0
1,P,LFKM,5,75,0,3,LF270_,9,5287,5303,16,2,0,1,0,,LF270_,2439,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,9,5303,5310,7,3,0,0,0,,LF270_,2492,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,9,5310,5313,3,5,0,0,0,,LF270_,2496,3,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,9,5313,5318,5,4,0,0,0,,LF270_,2499,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,9,5318,5319,1,8,0,0,1,,LF270_,2502,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,10,5319,5550,231,2,0,1,0,,LF270_,2507,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,10,5550,5557,7,3,0,0,0,,LF270_,2516,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,10,5557,5560,3,5,0,0,0,,LF270_,2525,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,10,5560,5565,5,4,0,0,0,,LF270_,2556,2,0,0,0,0,1
1,P,LFKM,5,75,0,3,LF270_,10,5565,5583,18,8,0,0,1,,LF270_,2597,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5583,5718,135,2,0,1,0,,LF270_,3608,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,11,5718,5725,7,3,0,0,0,,LF270_,3610,3,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5725,5728,3,5,0,0,0,,LF270_,3615,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5728,5733,5,4,0,0,0,,LF270_,3618,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5733,5746,13,8,0,1,0,,LF270_,3623,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5746,5753,7,3,0,0,0,,LF270_,3626,8,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,11,5753,5756,3,5,0,0,0,,LF270_,3630,3,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5756,5761,5,4,0,0,0,,LF270_,3633,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,11,5761,5765,4,8,4,0,1,,LF270_,3636,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,5765,9234,3469,2,0,1,0,,LF270_,3641,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9234,9241,7,3,0,0,0,,LF270_,3649,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,12,9241,9244,3,5,0,0,0,,LF270_,3667,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9244,9249,5,4,0,0,0,,LF270_,4613,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,12,9249,9251,2,8,0,1,0,,LF270_,4614,3,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9251,9258,7,3,0,0,0,,LF270_,4620,3,5,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9258,9261,3,5,0,0,0,,LF270_,4623,5,4,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9261,9266,5,4,0,0,0,,LF270_,4628,4,8,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,12,9266,9290,24,8,0,0,1,,LF270_,4661,8,2,3,0,0,1
1,P,LFKM,5,75,0,3,LF270_,13,9290,9365,75,2,0,1,0,,LF270_,4665,2,0,0,0,0,0
1,P,LFKM,5,75,0,3,LF270_,13,9365,9372,7,3,0,0,0,,LF270_,5023,2,3,2,0,1,0
1,P,LFKM,5,75,0,3,LF270_,13,9372,9375,3,5,0,0,0,,LF270_,5025,3,0,0,0,0,0
