Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,5,6252,6256,4,8,0,3,0,,LF270_,3053,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,5,6256,6263,7,3,0,1,0,,LF270_,3057,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,5,6263,6266,3,5,0,0,0,,LF270_,3073,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,5,6266,6271,5,4,7,0,0,,LF270_,3536,2,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,5,6271,6584,313,8,0,0,3,,LF270_,3537,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,6584,6868,284,2,0,1,0,,LF270_,3543,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,6868,6875,7,3,0,0,0,,LF270_,3546,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,6875,6878,3,5,0,0,0,,LF270_,3551,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,6878,6883,5,4,0,0,0,,LF270_,3555,8,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,6883,7022,139,8,0,1,0,,LF270_,3556,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7022,7029,7,3,0,0,0,,LF270_,3562,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7029,7032,3,5,0,0,0,,LF270_,3565,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7032,7037,5,4,0,0,0,,LF270_,3570,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7037,7326,289,8,0,1,0,,LF270_,3651,8,2,3,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7326,7333,7,3,0,0,0,,LF270_,3674,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7333,7336,3,5,0,0,0,,LF270_,3713,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
