Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
1,P,LFKM,5,48,0,1,LF270_,0,0,150,150,1,0,0,0,,LF270_,0,0,1,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,0,150,153,3,6,0,0,7,,LF270_,70,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,1,153,606,453,2,0,1,0,,LF270_,72,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,1,606,613,7,3,0,0,0,,LF270_,81,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,1,613,616,3,5,0,0,0,,LF270_,82,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,1,616,621,5,4,0,0,0,,LF270_,83,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,1,621,693,72,8,4,0,3,,LF270_,85,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,2,693,1555,862,2,0,1,0,,LF270_,86,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,2,1555,1562,7,3,0,0,0,,LF270_,87,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,2,1562,1565,3,5,0,0,0,,LF270_,89,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,2,1565,1570,5,4,0,0,0,,LF270_,91,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,2,1570,1574,4,8,0,0,4,,LF270_,92,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,3,1574,1892,318,2,0,1,0,,LF270_,93,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,3,1892,1899,7,3,0,0,0,,LF270_,97,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,3,1899,1902,3,5,0,0,0,,LF270_,114,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,3,1902,1907,5,4,0,0,0,,LF270_,115,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,3,1907,1984,77,8,0,0,3,,LF270_,147,1,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,4,1984,2486,502,2,0,1,0,,LF270_,148,1,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,4,2486,2493,7,3,0,0,0,,LF270_,150,1,6,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,4,2493,2496,3,5,0,0,0,,LF270_,153,6,2,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,4,2496,2501,5,4,0,0,0,,LF270_,157,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,4,2501,2513,12,8,0,1,0,,LF270_,158,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,4,2513,2520,7,3,0,0,0,,LF270_,172,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,4,2520,2523,3,5,0,0,0,,LF270_,174,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,4,2523,2528,5,4,0,0,0,,LF270_,175,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,4,2528,2546,18,8,0,0,3,,LF270_,186,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,5,2546,2967,421,2,0,1,1,,LF270_,214,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,5,2967,2974,7,3,0,0,2,,LF270_,229,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,5,2974,2977,3,5,0,0,0,,LF270_,230,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,5,2977,2982,5,4,0,0,0,,LF270_,470,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,5,2982,2988,6,8,0,0,2,,LF270_,473,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,6,2988,3122,134,2,0,1,0,,LF270_,591,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,6,3122,3129,7,3,0,0,0,,LF270_,592,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,6,3129,3132,3,5,0,0,0,,LF270_,606,2,3,2,0,1,0
1,P,LFKM,5,48,0,1,LF270_,6,3132,3137,5,4,0,0,0,,LF270_,609,3,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,6,3137,3148,11,8,0,0,2,,LF270_,613,3,5,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,7,3148,3352,204,2,0,1,0,,LF270_,616,5,4,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,7,3352,3359,7,3,0,0,0,,LF270_,621,4,8,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,7,3359,3362,3,5,0,0,0,,LF270_,693,8,2,3,0,0,1
1,P,LFKM,5,48,0,1,LF270_,7,3362,3367,5,4,0,0,0,,LF270_,701,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,7,3367,3370,3,8,0,0,2,,LF270_,733,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,8,3370,3452,82,2,0,1,0,,LF270_,744,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,8,3452,3459,7,3,0,0,0,,LF270_,829,2,0,0,0,0,1
1,P,LFKM,5,48,0,1,LF270_,8,3459,3462,3,5,0,0,0,,LF270_,844,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,8,3462,3467,5,4,0,0,0,,LF270_,1118,2,0,0,1,0,0
1,P,LFKM,5,48,0,1,LF270_,8,3467,3550,83,8,0,0,1,,LF270_,1119,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,9,3550,3645,95,2,0,1,0,,LF270_,1144,2,0,0,1,0,0
1,P,LFKM,5,48,0,1,LF270_,9,3645,3652,7,3,0,0,0,,LF270_,1156,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,9,3652,3655,3,5,0,0,0,,LF270_,1410,2,0,0,1,0,0
1,P,LFKM,5,48,0,1,LF270_,9,3655,3660,5,4,0,0,0,,LF270_,1414,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,9,3660,3670,10,8,6,0,2,,LF270_,1508,2,0,0,1,0,0
1,P,LFKM,5,48,0,1,LF270_,10,3670,5239,1569,2,0,1,0,,LF270_,1519,2,0,0,0,0,0
1,P,LFKM,5,48,0,1,LF270_,10,5239,5246,7,3,0,0,0,,LF270_,1555,2,3,2,0,1,0
1,P,LFKM,5,48,0,1,LF270_,10,5246,5249,3,5,0,0,0,,LF270_,1562,3,5,0,0,0,0
